ID,Title,Watched,Year,Genre,Runtime,Tier,Medium
1,The Disaster Artist,2017-12-31,2017.0,Comedy,104.0,A,Home
2,The Room,2017-12-31,2003.0,Drama,99.0,A,Home
3,"I, Tonya",2018-01-05,2017.0,Comedy,121.0,A,Home
4,Call Me By Your Name,2018-01-06,2017.0,Drama,132.0,S,Home
5,Lady Bird,2018-01-06,2017.0,Comedy,95.0,S,Home
7,Call Me By Your Name,2018-01-07,2017.0,Drama,132.0,S,Home
9,Lady Bird,2018-01-09,2017.0,Comedy,95.0,S,Home
10,Dunkirk,2018-01-10,2017.0,War,107.0,A,Home
11,Battle of the Sexes,2018-01-12,2017.0,Drama,122.0,B,Home
12,"I, Tonya",2018-01-12,2017.0,Comedy,121.0,A,Home
13,"Three Billboards Outside Ebbing, Missouri",2018-01-12,2017.0,Crime,116.0,A,Cinema
14,The Shape of Water,2018-01-13,2017.0,Fantasy,123.0,A,Cinema
16,The Room,2018-01-16,2003.0,Drama,99.0,S,Home
17,A Ghost Story,2018-01-17,2017.0,Fantasy,92.0,B,Home
20,The Babysitter,2018-01-18,2017.0,Comedy,85.0,B,Home
21,Dark Star,2018-01-18,1974.0,Comedy,83.0,S,Home
22,Call Me By Your Name,2018-01-19,2017.0,Drama,132.0,S,Cinema
23,Dunkirk,2018-01-20,2017.0,War,107.0,A,Home
24,Unlocked,2018-01-20,2017.0,Science Fiction,98.0,C,Home
27,The Boss Baby,2018-01-21,2017.0,Comedy,97.0,C,Cinema
28,Brigsby Bear,2018-01-22,2017.0,Comedy,100.0,S,Home
30,Baby Driver,2018-02-03,2018.0,Crime,115.0,B,Home
31,Tragedy Girls,2018-02-05,2017.0,Comedy,108.0,B,Home
32,The Shape of Water,2018-02-09,2017.0,Fantasy,123.0,A,Cinema
34,Thor Ragnarok,2018-02-10,2017.0,Fantasy,130.0,A,Home
35,Welcome to the Sticks,2018-02-16,2008.0,Comedy,106.0,A,Home
36,The Sting,2018-02-17,1973.0,Crime,129.0,S,Home
37,Black Panther,2018-02-18,2018.0,Fantasy,135.0,B,Cinema
38,Apocalypse Now Now,2018-02-20,2017.0,Fantasy,7.0,B,Home
39,Dark Legacy,2018-02-20,2017.0,Fantasy,12.0,B,Home
40,The Fisherman,2018-02-20,2015.0,Fantasy,20.0,B,Home
